customer_id_fraud,order_id,txn_time_gmt7,service_group_name,service_name,payer_user_id,payer_user_type,payee_user_id,payee_user_type,amount,command_name,customer_id,merchant
17275.0,,,,,,,,,,,,
17276.0,,,,,,,,,,,,
17277.0,,,,,,,,,,,,
17278.0,,,,,,,,,,,,
17280.0,,,,,,,,,,,,
17282.0,,,,,,,,,,,,
17283.0,,,,,,,,,,,,
17284.0,,,,,,,,,,,,
17286.0,,,,,,,,,,,,
17287.0,,,,,,,,,,,,
17288.0,,,,,,,,,,,,
17289.0,,,,,,,,,,,,
17290.0,,,,,,,,,,,,
17292.0,,,,,,,,,,,,
17293.0,,,,,,,,,,,,
17294.0,,,,,,,,,,,,
17295.0,,,,,,,,,,,,
17296.0,,,,,,,,,,,,
17297.0,,,,,,,,,,,,
17299.0,,,,,,,,,,,,
17301.0,,,,,,,,,,,,
17302.0,,,,,,,,,,,,
17303.0,,,,,,,,,,,,
17304.0,,,,,,,,,,,,
17305.0,,,,,,,,,,,,
17306.0,,,,,,,,,,,,
17307.0,,,,,,,,,,,,
17313.0,,,,,,,,,,,,
17314.0,,,,,,,,,,,,
17315.0,,,,,,,,,,,,
17316.0,,,,,,,,,,,,
17317.0,,,,,,,,,,,,
17320.0,,,,,,,,,,,,
17321.0,,,,,,,,,,,,
17322.0,,,,,,,,,,,,
17323.0,,,,,,,,,,,,
17325.0,,,,,,,,,,,,
17327.0,,,,,,,,,,,,
17328.0,,,,,,,,,,,,
17332.0,,,,,,,,,,,,
17340.0,,,,,,,,,,,,
17341.0,,,,,,,,,,,,
17345.0,,,,,,,,,,,,
17346.0,,,,,,,,,,,,
17348.0,,,,,,,,,,,,
17352.0,,,,,,,,,,,,
17353.0,,,,,,,,,,,,
17355.0,,,,,,,,,,,,
17356.0,,,,,,,,,,,,
17357.0,,,,,,,,,,,,
17358.0,,,,,,,,,,,,
17359.0,,,,,,,,,,,,
17360.0,,,,,,,,,,,,
17361.0,,,,,,,,,,,,
17362.0,,,,,,,,,,,,
17363.0,,,,,,,,,,,,
17364.0,,,,,,,,,,,,
17365.0,,,,,,,,,,,,
17366.0,,,,,,,,,,,,
17369.0,,,,,,,,,,,,
17370.0,,,,,,,,,,,,
17371.0,,,,,,,,,,,,
17373.0,,,,,,,,,,,,
17374.0,,,,,,,,,,,,
17377.0,,,,,,,,,,,,
